target,variant,num_samples,feature_diversity,wall_seconds,runtime_overhead_percent,peak_memory_bytes,target_success,target_accuracy,signed_target_logit_mean,signed_target_logit_std,target_margin_q10,target_margin_median,target_margin_q90,protected_logit_drift_mean,protected_flip_rate,protected_1_drift,protected_1_flip_rate,protected_2_drift,protected_2_flip_rate,protected_3_drift,protected_3_flip_rate,protected_4_drift,protected_4_flip_rate,kid_mean,kid_std,kid_subset_size,kid_subsets,kid_reference,guided_field_evaluations,raw_generator_forwards,evaluator_forwards,evaluator_examples,matrix,guided_field_evaluations_per_trajectory,raw_generator_forwards_per_trajectory,mean_scale,max_scale,feasible_rate,fallback_rate,gate_inactive_rate,protected_0_drift,protected_0_flip_rate
bangs_present,target_plus_preservation,256,0.5146750807762146,23.608021645999997,2.9692310388587666,628038656,0.80859375,0.80859375,4.380788803100586,4.62722110748291,-1.9944474697113037,5.16256046295166,9.397300720214844,4.531364440917969,0.1787109375,,,3.8782544136047363,0.15625,5.39402961730957,0.16015625,5.3560943603515625,0.30859375,0.017500176429748535,0.0037424549893964954,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.3017578125,4.0,0.8484375,0.1515625,0.0,3.497079372406006,0.08984375
bangs_present,target_plus_minimum_intervention,256,0.4810141921043396,23.61237952500005,2.9882384532166726,628038656,0.890625,0.890625,5.7805867195129395,4.574069976806641,-0.703544020652771,6.599687576293945,11.023792266845703,3.1233725547790527,0.1162109375,,,2.8152389526367188,0.12109375,3.4382400512695312,0.08984375,3.7916417121887207,0.18359375,0.0249312162399292,0.004819738604416106,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.1748046875,4.0,0.8796875,0.1203125,0.0,2.4483704566955566,0.0703125
bangs_present,target_preservation_minimum_intervention,256,0.4810141921043396,24.09491968700013,5.092895513073823,628038656,0.890625,0.890625,5.7805867195129395,4.574069976806641,-0.703544020652771,6.599687576293945,11.023792266845703,3.1233725547790527,0.1162109375,,,2.8152389526367188,0.12109375,3.4382400512695312,0.08984375,3.7916417121887207,0.18359375,0.0249312162399292,0.004819738604416106,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.1748046875,4.0,0.8796875,0.1203125,0.0,2.4483704566955566,0.0703125
bangs_present,full_plus_temporal_smoothness,256,0.41968992352485657,23.73816957200006,3.5368869001790837,628038656,0.984375,0.984375,7.8449320793151855,3.346158027648926,3.2585771083831787,8.38055419921875,11.65408706665039,0.039705004543066025,0.001953125,,,0.03788609057664871,0.00390625,0.03019873797893524,0.0,0.052616048604249954,0.0,0.043045177459716796,0.006520802292112497,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,2.0494141578674316,4.0,0.84296875,0.05703125,0.1,0.038119126111269,0.00390625
bangs_present,full_without_reliability_gate,256,0.4784262478351593,23.50732502100027,2.5300305755625514,628038656,0.890625,0.890625,5.956793785095215,4.532288074493408,-0.5707558393478394,6.700496673583984,11.023792266845703,3.135952949523926,0.115234375,,,2.8349764347076416,0.12109375,3.445906162261963,0.0859375,3.793586492538452,0.1796875,0.025593585968017578,0.004899706281223606,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.3466796875,4.0,0.884375,0.115625,0.0,2.469343662261963,0.07421875
bangs_present,full_fixed_threshold,256,0.4189035892486572,23.428043979999984,2.184236762333698,628038656,0.98046875,0.98046875,7.837491512298584,3.360356569290161,3.1976726055145264,8.329008102416992,11.7530517578125,0.23887178301811218,0.0087890625,,,0.24066273868083954,0.0078125,0.1493445634841919,0.0,0.25351542234420776,0.015625,0.042833986282348635,0.006418586449867234,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,2.0849609375,4.0,0.512890625,0.387109375,0.1,0.31196433305740356,0.01171875
blond_hair,hw3_baseline,256,0.24953459203243256,22.687343743999918,0.0,598670848,0.984375,0.984375,9.548076629638672,3.5028750896453857,5.924631118774414,9.756093978881836,13.673696517944336,0.0,0.0,0.0,0.0,,,,,,,0.06971760749816895,0.006372525158557884,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,0,0,,,,,,,,,0.0,0.0
blond_hair,target_feedback_only,256,0.29337286949157715,23.538666333000037,3.7524119112677847,628038656,0.9609375,0.9609375,7.87041711807251,4.02059268951416,3.3416872024536133,8.364828109741211,12.391788482666016,1.9993054866790771,0.080078125,1.928043007850647,0.07421875,,,,,,,0.053041815757751465,0.005899035364455219,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,0.962890625,4.0,0.965625,0.034375,0.0,2.070568084716797,0.0859375
blond_hair,target_plus_preservation,256,0.29337286949157715,23.74929447600016,4.680806814509052,628038656,0.9609375,0.9609375,7.87041711807251,4.02059268951416,3.3416872024536133,8.364828109741211,12.391788482666016,1.9993054866790771,0.080078125,1.928043007850647,0.07421875,,,,,,,0.053041815757751465,0.005899035364455219,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,0.962890625,4.0,0.965625,0.034375,0.0,2.070568084716797,0.0859375
blond_hair,target_plus_minimum_intervention,256,0.2833917737007141,23.605152781000015,4.045467143956985,628038656,0.95703125,0.95703125,8.385294914245605,4.093547821044922,3.6837334632873535,8.818159103393555,12.95849609375,1.5465983152389526,0.056640625,1.4974989891052246,0.046875,,,,,,,0.05867579460144043,0.006364652002159966,100,50,full_63715_celeba_hw3_torch_fidelity,800,1600,80,15360,component,100,200,1.2361328601837158,4.0,0.973828125,0.026171875,0.0,1.5956976413726807,0.06640625
